COMMODITY_DESC,n_top_items,item_weeks,share_weeks_price_moves,share_weeks_base_moves,share_weeks_promo_moves,share_weeks_either_moves,n_items_base_moves,n_items_promo_moves,differential_cells,differential_per_pair,mean_abs_move_corr,cat_trips,multi_any,multi_top,n_items_all,trips_top,drop_reason,scored,kept_today
CANDY - PACKAGED,10,675,0.4192592592592593,0.2577777777777778,0.26222222222222225,0.4414814814814815,9,10,1761.0,19.566666666666666,0.09682271888940737,21109,0.3388128286512862,0.02373395234260268,2471,4298,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CANNED JUICES,10,847,0.2597402597402597,0.14521841794569068,0.17119244391971664,0.282172373081464,9,10,1428.0,15.866666666666667,0.1683891354544182,19710,0.3203450025367834,0.02110603754439371,648,5140,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CANNED MILK,10,412,0.08737864077669903,0.019417475728155338,0.0703883495145631,0.08495145631067962,3,8,296.0,3.2888888888888888,0.12032840282646357,1803,0.06932889628397115,0.040488075429839156,55,1496,KEPT,True,True
CARROTS,10,567,0.37918871252204583,0.20458553791887124,0.17989417989417988,0.38095238095238093,9,7,1525.0,16.944444444444443,0.14127765386146687,8372,0.012780697563306258,0.012422360248447204,57,8343,KEPT,True,True
CAT FOOD,10,787,0.2388818297331639,0.12833545108005082,0.2731893265565438,0.29733163913595934,10,10,902.0,10.022222222222222,0.5088986515805866,6517,0.4508209298757097,0.0900721190731932,509,2199,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CAT LITTER,10,526,0.2832699619771863,0.045627376425855515,0.26045627376425856,0.28517110266159695,7,9,1129.0,12.544444444444444,0.09159736891897823,2946,0.09334691106585201,0.0027155465037338763,110,1348,KEPT,True,True
CEREAL/BREAKFAST,10,217,0.24423963133640553,0.027649769585253458,0.22119815668202766,0.24423963133640553,3,8,409.0,4.544444444444444,0.09248769315046944,1458,0.22016460905349794,0.02606310013717421,178,650,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CHARCOAL AND LIGHTER FLUID,10,249,0.18072289156626506,0.03614457831325301,0.15261044176706828,0.18473895582329317,6,6,359.0,3.988888888888889,0.07330284107331679,1952,0.1521516393442623,0.0353483606557377,135,836,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CHEESE,10,993,0.3554884189325277,0.0433031218529708,0.3554884189325277,0.37059415911379656,7,9,1897.0,21.07777777777778,0.24790454979468843,46081,0.3775308695557822,0.0498036066925631,1096,20235,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CHEESES,10,869,0.9631760644418872,0.952819332566168,0.2186421173762946,0.9654775604142692,10,10,1195.0,13.277777777777779,0.09337740505574842,11255,0.19093736117281207,0.06281652598844958,743,6646,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CHICKEN,10,908,0.987885462555066,0.9801762114537445,0.6762114537444934,0.9911894273127754,10,10,797.0,8.855555555555556,0.19105196557012907,14933,0.15254804794749882,0.049018951315877586,363,10330,fewer than 5 items or <200 category-trips,True,False
CHICKEN/POULTRY,10,827,0.4026602176541717,0.014510278113663845,0.3784764207980653,0.3808948004836759,3,10,1789.0,19.877777777777776,0.2154391932406307,5821,0.06373475347878371,0.03006356296169043,176,4499,KEPT,True,True
CHIPS&SNACKS,10,206,0.2087378640776699,0.05339805825242718,0.16019417475728157,0.20388349514563106,6,10,355.0,3.9444444444444446,0.11168688287903902,1688,0.14277251184834122,0.011255924170616114,172,601,fewer than 5 items or <200 category-trips,True,False
CHRISTMAS  SEASONAL,10,113,0.5309734513274337,0.21238938053097345,0.49557522123893805,0.5575221238938053,6,10,406.0,4.511111111111111,0.24203123017931935,1861,0.2971520687802257,0.0053734551316496505,862,384,fewer than 5 items or <200 category-trips,True,False
CIGARETTES,10,810,0.2308641975308642,0.23209876543209876,0.0024691358024691358,0.23209876543209876,10,1,1235.0,13.722222222222221,0.09790119658351813,10734,0.12418483324017142,0.013974287311347122,383,4781,not audited (removed upstream),False,False
CIGARS,6,30,0.1,0.1,0.0,0.1,2,0,15.0,0.5,0.05044332723053186,164,0.012195121951219513,0.0,36,131,not audited (removed upstream),False,False
CITRUS,10,726,0.23415977961432508,0.15289256198347106,0.09641873278236915,0.23553719008264462,10,10,1110.0,12.333333333333334,0.12693503511943438,10058,0.11910916683237224,0.07287731159276198,152,8540,KEPT,True,True
COCOA MIXES,10,525,0.17904761904761904,0.06666666666666667,0.1619047619047619,0.19047619047619047,6,10,724.0,8.044444444444444,0.0932726384019916,3811,0.10574652322225138,0.02309105221726581,132,2132,KEPT,True,True
COFFEE,10,699,0.38912732474964234,0.1888412017167382,0.2804005722460658,0.39914163090128757,9,10,1806.0,20.066666666666666,0.07245008655143485,11400,0.16508771929824562,0.004210526315789474,603,2302,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
COFFEE FILTERS,10,334,0.2125748502994012,0.038922155688622756,0.20658682634730538,0.2245508982035928,5,10,581.0,6.455555555555556,0.09973907363990993,1638,0.019536019536019536,0.002442002442002442,120,927,top 15% most seasonal (Herfindahl of daily demand),True,False
COFFEE SHOP,9,29,0.13793103448275862,0.13793103448275862,0.0,0.13793103448275862,2,0,32.0,0.4444444444444444,0.0616192081942255,185,0.23243243243243245,0.0972972972972973,59,123,fewer than 5 items or <200 category-trips,True,False
COFFEE SHOP SWEET GOODS&RETAIL,5,11,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,2,0,8.0,0.4,0.09999999999999999,69,0.07246376811594203,0.028985507246376812,35,49,not audited (removed upstream),False,False
COLD AND FLU,10,246,0.13414634146341464,0.04065040650406504,0.12601626016260162,0.14227642276422764,6,10,257.0,2.8555555555555556,0.1461846123079318,4828,0.21023198011599006,0.008492129246064623,595,693,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
COLD CEREAL,10,907,0.28335170893054024,0.13671444321940462,0.22712238147739802,0.3153252480705623,7,10,1617.0,17.966666666666665,0.12831414614346584,24829,0.37242740343952635,0.012847879495750936,638,4913,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CONDIMENTS,8,18,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0,1,7.0,0.125,,386,0.14248704663212436,0.018134715025906734,107,134,fewer than 5 items or <200 category-trips,True,False
CONDIMENTS/SAUCES,10,877,0.18928164196123148,0.03078677309007982,0.16077537058152794,0.1847206385404789,6,10,1164.0,12.933333333333334,0.13549446174427104,17704,0.23531405332128333,0.030445097153185722,722,6796,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
CONTINUITIES,10,36,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,1,0,9.0,0.1,,152,0.19078947368421054,0.05921052631578947,63,108,fewer than 5 items or <200 category-trips,True,False
CONVENIENT BRKFST/WHLSM SNACKS,10,842,0.41211401425178146,0.2173396674584323,0.25534441805225655,0.4251781472684085,8,10,1677.0,18.633333333333333,0.34538534664795584,13877,0.39158319521510415,0.04114722202205087,558,3746,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
COOKIES,10,515,0.3766990291262136,0.02524271844660194,0.3786407766990291,0.3864077669902913,7,10,1186.0,13.177777777777777,0.21679232107899363,3668,0.1663031624863686,0.08505997818974918,348,2655,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
COOKIES/CONES,10,839,0.29797377830750893,0.026221692491060787,0.2908224076281287,0.3039332538736591,8,9,1536.0,17.066666666666666,0.1919848224796985,16896,0.25224905303030304,0.015920928030303032,951,4565,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
COOKWARE & BAKEWARE,10,56,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.14285714285714285,2,5,72.0,0.8,0.012781032721204486,1019,0.0971540726202159,0.004906771344455349,259,260,fewer than 5 items or <200 category-trips,True,False
CORN,9,215,0.4,0.24651162790697675,0.2372093023255814,0.413953488372093,7,3,572.0,7.944444444444445,0.17056404060833508,2722,0.005143277002204262,0.005143277002204262,24,2727,top 15% most seasonal (Herfindahl of daily demand),True,False
COSMETIC ACCESSORIES,5,25,0.12,0.12,0.0,0.12,1,0,12.0,0.6,0.042887787939969724,196,0.0663265306122449,0.00510204081632653,60,111,fewer than 5 items or <200 category-trips,True,False
COUPON,2,22,0.8636363636363636,0.8636363636363636,0.0,0.8636363636363636,1,0,19.0,9.5,,68,0.0,0.0,3,68,not audited (removed upstream),False,False
COUPON/MISC ITEMS,10,630,0.8746031746031746,0.873015873015873,0.0031746031746031746,0.8746031746031746,10,1,2327.0,25.855555555555554,0.09157611835805284,4387,0.027353544563483018,0.020971050832003648,99,4131,not audited (removed upstream),False,False
COUPONS/STORE & MFG,8,103,0.1262135922330097,0.0970873786407767,0.1650485436893204,0.17475728155339806,4,6,91.0,1.625,0.08207966675505503,366,0.0,0.0,21,344,not audited (removed upstream),False,False
CRACKERS/MISC BKD FD,10,930,0.3365591397849462,0.1064516129032258,0.3064516129032258,0.35268817204301073,9,10,1885.0,20.944444444444443,0.11347240581248522,22503,0.23525752121939297,0.029507176820868328,820,9573,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DELI MEATS,10,956,0.9654811715481172,0.9633891213389121,0.25313807531380755,0.9696652719665272,10,10,605.0,6.722222222222222,0.08245733310082926,16970,0.3812610489098409,0.1131997642899234,499,11147,fewer than 5 items or <200 category-trips,True,False
DELI SPECIALTIES (RETAIL PK),10,57,0.17543859649122806,0.0,0.17543859649122806,0.17543859649122806,0,4,86.0,0.9555555555555556,0.1402587823800205,410,0.07560975609756097,0.02926829268292683,68,242,fewer than 5 items or <200 category-trips,True,False
DELI SUPPLIES,4,167,0.9760479041916168,0.9760479041916168,0.0,0.9760479041916168,3,0,351.0,29.25,0.023289135003495987,557,0.012567324955116697,0.012567324955116697,9,568,fewer than 5 items or <200 category-trips,True,False
DEODORANTS,10,147,0.16326530612244897,0.027210884353741496,0.16326530612244897,0.17687074829931973,4,9,208.0,2.311111111111111,0.03197726109454817,4234,0.1615493623051488,0.003778932451582428,524,486,fewer than 5 items or <200 category-trips,True,False
DIAPERS & DISPOSABLES,10,377,0.1830238726790451,0.01856763925729443,0.17771883289124668,0.1830238726790451,4,8,551.0,6.122222222222222,0.09388106685270874,4556,0.08625987708516242,0.004828797190517998,286,943,top 15% most seasonal (Herfindahl of daily demand),True,False
DIETARY AID PRODUCTS,10,190,0.25263157894736843,0.021052631578947368,0.22105263157894736,0.24210526315789474,3,7,418.0,4.644444444444445,0.03082456126084414,1772,0.22573363431151242,0.003386004514672686,332,513,fewer than 5 items or <200 category-trips,True,False
DINNER MXS:DRY,10,904,0.22234513274336284,0.07743362831858407,0.21902654867256638,0.25442477876106195,8,10,1315.0,14.61111111111111,0.12616654240045275,13185,0.29692832764505117,0.03306788016685627,368,6558,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DINNER SAUSAGE,10,819,0.34676434676434675,0.007326007326007326,0.3528693528693529,0.3528693528693529,2,10,1550.0,17.22222222222222,0.15482229667645375,9805,0.16981132075471697,0.027231004589495157,339,4109,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DISHWASH DETERGENTS,10,647,0.23183925811437403,0.2117465224111283,0.16228748068006182,0.27666151468315303,10,10,1032.0,11.466666666666667,0.15731608235584668,6210,0.10193236714975845,0.00676328502415459,206,2151,KEPT,True,True
DISPOSIBLE FOILWARE,10,161,0.18012422360248448,0.018633540372670808,0.16149068322981366,0.18012422360248448,2,9,229.0,2.5444444444444443,0.1269359033893828,1001,0.08491508491508491,0.03296703296703297,52,637,fewer than 5 items or <200 category-trips,True,False
DOG FOODS,10,634,0.07255520504731862,0.1056782334384858,0.1608832807570978,0.16246056782334384,9,10,352.0,3.911111111111111,0.14764945505019372,7083,0.3292390230128477,0.046590427784836935,596,1595,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DOLLAR VALUE PRODUCTS,7,17,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.23529411764705882,2,3,18.0,0.42857142857142855,0.10716519943868125,167,0.2275449101796407,0.011976047904191617,84,68,fewer than 5 items or <200 category-trips,True,False
DOMESTIC GOODS,9,82,0.4146341463414634,0.2073170731707317,0.34146341463414637,0.43902439024390244,7,8,198.0,2.75,0.1431828477667342,734,0.12534059945504086,0.04223433242506812,253,324,fewer than 5 items or <200 category-trips,True,False
DOMESTIC WINE,10,223,0.07623318385650224,0.07623318385650224,0.0,0.07623318385650224,6,0,143.0,1.5888888888888888,0.12378071005239866,4497,0.20836112964198356,0.00578163219924394,994,653,fewer than 5 items or <200 category-trips,True,False
DRIED FRUIT,10,520,0.14807692307692308,0.0038461538461538464,0.14038461538461539,0.1423076923076923,2,10,557.0,6.188888888888889,0.1793462848816301,3009,0.12462612163509472,0.017281488866733134,176,1560,KEPT,True,True
DRY BN/VEG/POTATO/RICE,10,779,0.15661103979460847,0.021822849807445442,0.14634146341463414,0.15789473684210525,9,10,880.0,9.777777777777779,0.20514103056632468,13152,0.33181265206812655,0.02136557177615572,623,2713,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DRY MIX DESSERTS,10,484,0.29338842975206614,0.10950413223140495,0.2975206611570248,0.3367768595041322,8,10,888.0,9.866666666666667,0.2057889921880207,5406,0.42064372918978915,0.06289308176100629,386,1828,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DRY NOODLES/PASTA,10,919,0.13166485310119697,0.026115342763873776,0.14036996735582155,0.14363438520130578,8,10,841.0,9.344444444444445,0.19748692068011442,13942,0.18325921675512838,0.013986515564481423,348,4616,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DRY SAUCES/GRAVY,10,703,0.1422475106685633,0.07396870554765292,0.14082503556187767,0.16500711237553342,8,10,758.0,8.422222222222222,0.15461362534512535,6467,0.20117519715478582,0.022576155868254212,227,2614,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
DRY TEA/COFFEE/COCO MIX,7,11,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0,2,10.0,0.23809523809523808,1.0,146,0.2465753424657534,0.06164383561643835,63,81,fewer than 5 items or <200 category-trips,True,False
EASTER,9,47,0.2765957446808511,0.02127659574468085,0.2553191489361702,0.2765957446808511,1,4,80.0,1.1111111111111112,0.8899706545930015,560,0.21428571428571427,0.07857142857142857,215,387,fewer than 5 items or <200 category-trips,True,False
EGGS,10,953,0.21406086044071354,0.09968520461699895,0.13431269674711438,0.21511017838405036,8,6,1438.0,15.977777777777778,0.10613141840854641,27609,0.02245644536201963,0.010032960266579738,121,26076,KEPT,True,True
ELECTRICAL SUPPPLIES,10,408,0.26715686274509803,0.051470588235294115,0.2181372549019608,0.2622549019607843,9,10,761.0,8.455555555555556,0.19698571104012008,2641,0.1794774706550549,0.046573267701628174,351,1208,unit demand violated (>15% multi-item or >10% multi-top-item trips),True,False
ETHNIC PERSONAL CARE,3,9,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,1,2,6.0,1.0,0.04665766116539243,297,0.20202020202020202,0.016835016835016835,141,107,fewer than 5 items or <200 category-trips,True,False
EXOTIC GAME/FOWL,5,47,0.40425531914893614,0.2553191489361702,0.14893617021276595,0.40425531914893614,3,2,74.0,3.7,0.03974450854455631,195,0.020512820512820513,0.020512820512820513,15,194,fewer than 5 items or <200 category-trips,True,False
