group_id,COMMODITY_DESC,all items backward,all items forward,all items random,single UPC backward,single UPC forward,single UPC random,fail_single_UPC_forward,fail_all_items_forward,fail_single_UPC_backward,fail_all_items_backward,fail_single_UPC_random,fail_all_items_random,n_failed,fails_any,fails_random_only_tests,fails_backward_tests,actual_price_coef,actual_p
10,BREAKFAST SWEETS,0.1315131099493708,0.4573788382409115,0.2629367085154154,0.9983179327770896,0.0042934409569046,0.0001749953554459,True,False,False,False,True,False,2,True,True,False,-1.4485845099304129,1.994037514501864e-43
11,BUTTER,0.9569492739932997,0.9990674199664308,0.7765115612919333,0.5197806870274644,0.7006369091480992,0.7006369091480992,False,False,False,False,False,False,0,False,False,False,-0.8047501962357785,3.5553192308448075e-24
12,CANNED MILK,0.0805750920590227,0.1387901321441661,0.0607890583607952,0.0939170359992309,0.0169060791707948,0.0080141584827101,False,False,False,False,True,False,1,True,True,False,-0.564111780026054,0.165449070512388
13,CARROTS,0.7346006804949093,0.5589269107286492,0.289067333728206,0.5344707013384182,0.047086189941028,0.5301640692750863,False,False,False,False,False,False,0,False,False,False,-0.5385480853543926,3.15201865561936e-10
14,CAT LITTER,0.5665752882543333,0.5286110640217137,0.6166852660425461,0.1942158520891002,0.2354162173316193,0.8852788520229106,False,False,False,False,False,False,0,False,False,False,-0.2515790754034772,0.089434824783483
15,CHICKEN/POULTRY,0.0072983508636644,0.3972281176222147,0.0024197682655792,0.3608194955807948,0.1941072653651253,0.2177647879155517,False,False,False,True,False,True,2,True,True,True,-0.4532114725312223,1.7080025228828842e-08
16,CITRUS,4.101749387069907e-18,0.000156964103601,2.0021615007556587e-11,2.3623237743089e-18,2.6948620096792574e-25,0.0024434572304302,True,True,True,True,True,True,6,True,True,True,-1.1969761032260702,6.162678116291869e-44
17,COCOA MIXES,1.510808119443787e-09,4.7025420204246994e-08,8.267987527059332e-05,0.3572610843247253,0.1678502352375142,0.5523250084534873,False,True,False,True,False,True,3,True,True,True,-0.9750511511884534,1.6890854842127998e-07
18,DISHWASH DETERGENTS,0.4474148537410027,0.2241616183310544,0.1129105473059257,0.071162980558653,0.947796210742014,0.9275488150212678,False,False,False,False,False,False,0,False,False,False,-0.0738697396012763,0.7889234485689764
19,DRIED FRUIT,0.0013234929495038,0.0052083852814546,0.5842174933483917,0.7521185790838302,0.9342306742876036,0.3147936935413788,False,True,False,True,False,False,2,True,False,True,-0.7360175258645272,0.0005763081189508
20,EGGS,4.4720893547333344e-08,0.5750003331418343,0.2453563017255221,4.8788055757918514e-11,0.0305884099095685,0.3307088606699405,False,False,True,True,False,False,2,True,False,True,-2.1717579066354875,5.174358717068387e-61
