label,group_id,loglik,mse,purchases,rank_ll,rank_se
sub_s1,4,-7.307687377929687,1.001162567138672,50.0,1.0,3.0
sub_s1,5,-4.336657569521949,0.9517033894856771,336.0,4.0,4.0
sub_s1,6,-4.147390106577932,0.8702529153706114,162.0,1.0,2.0
sub_s1,7,-3.61727294921875,0.92313623046875,500.0,3.0,3.0
sub_s1,8,-6.016626446063702,0.9906273475060097,130.0,6.0,4.0
sub_s1,9,-5.0814557243795955,0.9496113496668198,170.0,6.0,6.0
sub_s1,10,-4.3388519287109375,0.9354840596516927,240.0,1.0,3.0
sub_s1,11,-4.712659112338362,0.9684680412555563,232.0,6.0,5.0
sub_s1,12,-6.351411101105925,0.9934702291117086,77.0,3.0,6.0
sub_s1,13,-3.3965990020007624,0.9125919993330792,410.0,3.0,1.0
sub_s1,14,-6.054261057000411,0.9814740231162623,76.0,4.0,6.0
sub_s1,15,-5.308103196164395,0.9838110741148604,188.0,3.0,5.0
sub_s1,16,-4.126308027983312,0.9497242502361462,397.0,1.0,2.0
sub_s1,17,-6.014887645991162,0.9910668267144097,99.0,3.0,3.0
sub_s1,18,-6.073821181551032,0.9951122878888331,109.0,5.0,6.0
sub_s1,19,-5.591776667414485,0.9678410710515203,74.0,4.0,5.0
sub_s1,20,-2.7791465412486684,0.8807537772438743,1408.0,1.0,1.0
sub_s1,21,-5.21129335345644,0.9622311678799715,165.0,5.0,6.0
sub_s1,22,-5.927291465016593,0.9934469577485481,113.0,6.0,5.0
sub_s1,23,-5.419896527066257,0.9844178580195526,183.0,1.0,3.0
sub_s1,24,-5.660091262927159,0.9830347513981003,139.0,3.0,2.0
sub_s1,25,-5.7556222098214285,0.972479248046875,140.0,6.0,4.0
sub_s1,26,-4.368517405626781,0.9498623144253027,351.0,6.0,4.0
sub_s1,27,-4.751063627355239,0.9101682924756817,51.0,5.0,5.0
sub_s1,28,-6.485919024493243,0.9940811363426415,74.0,5.0,3.0
sub_s1,29,-5.070385849266722,0.9593709309895834,114.0,2.0,4.0
sub_s1,30,-4.451967734990157,0.9676643431656003,381.0,6.0,4.0
sub_s1,31,-4.665113740808824,0.9680707146139705,255.0,3.0,4.0
sub_s1,32,-4.591884613037109,0.9746663570404053,256.0,1.0,3.0
sub_s1,33,-2.4173623046875,0.739626220703125,375.0,5.0,6.0
sub_s1,34,-6.333702212474385,0.9930479956454918,61.0,2.0,5.0
sub_s1,35,-5.929595229204963,0.9847005507525276,85.0,4.0,5.0
sub_s1,36,-3.6882242182249665,0.9412262619182628,372.0,2.0,5.0
sub_s1,37,-5.938427534259733,0.9921278406362064,122.0,5.0,4.0
sub_s1,38,-4.110558537360564,0.9178928164985236,381.0,2.0,5.0
sub_s1,39,-6.651849474225726,1.0002833093915666,56.0,6.0,1.0
sub_s1,40,-6.989111717711103,0.9897847277052859,47.0,5.0,4.0
