label,group_id,loglik,mse,purchases,rank_ll,rank_se
nf_nopool,47,-5.111383766351744,0.9764904643214026,215.0,7.0,7.0
nf_nopool,48,-6.4579111735026045,0.9502174059549967,48.0,7.0,1.0
nf_nopool,49,-4.398844401041667,0.9644437374405348,381.0,7.0,7.0
nf_nopool,50,-3.5439239399200337,0.8733943849300294,297.0,1.0,2.0
nf_nopool,51,-4.474932270665323,0.9323666480279738,186.0,1.0,2.0
nf_nopool,52,-5.622792447550913,0.9732471423202687,89.0,7.0,2.0
nf_nopool,53,-3.628499195988017,0.9385992638150552,532.0,7.0,7.0
nf_nopool,54,-3.3931437577351486,0.9277249477877475,505.0,2.0,3.0
nf_nopool,55,-4.084475032314477,0.9286654952668796,411.0,3.0,7.0
logit,0,-5.6460224352384865,0.9966374447471217,190.0,8.0,8.0
logit,1,-6.861860686657476,0.9994262246524587,51.0,8.0,8.0
logit,2,-5.085124563663564,0.9920125109084109,282.0,8.0,8.0
logit,3,-4.5688632892328,0.984814386601669,367.0,8.0,8.0
logit,4,-7.08658447265625,1.0003323364257812,50.0,1.0,3.0
logit,5,-5.011055355980282,0.992895035516648,336.0,8.0,8.0
logit,6,-5.505890269338349,0.9938727484809028,162.0,8.0,8.0
logit,7,-3.9322744140625,0.9543928833007812,500.0,8.0,8.0
logit,8,-6.020329402043269,0.9967559814453125,130.0,7.0,8.0
logit,9,-5.632823270909927,0.9953948974609375,170.0,8.0,8.0
logit,10,-4.765647379557292,0.9866619110107422,240.0,8.0,8.0
logit,11,-5.197953322838092,0.9920729275407463,232.0,8.0,8.0
logit,12,-6.716844434862013,0.9980230950689936,77.0,8.0,8.0
logit,13,-3.669359756097561,0.9632994116806403,410.0,8.0,8.0
logit,14,-6.741930509868421,0.9985810330039576,76.0,8.0,8.0
logit,15,-5.669917979138963,0.9963240116200549,188.0,8.0,8.0
logit,16,-4.6587258442222925,0.9890397309656408,397.0,8.0,8.0
logit,17,-6.2213233408301765,0.9984471484868214,99.0,8.0,8.0
logit,18,-6.2791311281536695,0.998665065940367,109.0,8.0,8.0
logit,19,-6.318544954866977,0.9985823760161529,74.0,8.0,8.0
logit,20,-3.2331327958540483,0.9424930919300426,1408.0,8.0,8.0
logit,21,-5.829191450639205,0.9966378876657197,165.0,8.0,8.0
logit,22,-6.032466382051991,0.9976314443402585,113.0,8.0,8.0
logit,23,-5.6981774835638666,0.9958919671063866,183.0,8.0,8.0
logit,24,-5.919196478754497,0.9973056710881295,139.0,8.0,8.0
logit,25,-6.037505231584821,0.9962040492466517,140.0,8.0,8.0
logit,26,-4.795914087540064,0.9874194544604701,351.0,8.0,8.0
logit,27,-6.080224130667892,0.9964663935642616,51.0,8.0,8.0
logit,28,-6.614384006809544,0.9990053950129328,74.0,7.0,8.0
logit,29,-5.90884720651727,0.9968147947077166,114.0,8.0,8.0
logit,30,-4.896458102649278,0.9914187133468668,381.0,8.0,8.0
logit,31,-5.052181946997549,0.9941460104549632,255.0,8.0,8.0
logit,32,-5.151803016662598,0.9917938709259033,256.0,8.0,8.0
logit,33,-3.2619261067708334,0.9306940104166667,375.0,8.0,8.0
logit,34,-6.906050885309939,0.999434549300397,61.0,8.0,8.0
logit,35,-6.333328067555147,0.9977086684283089,85.0,8.0,8.0
logit,36,-4.032460202452957,0.9761605211483535,372.0,8.0,8.0
logit,37,-6.193401899494108,0.9981350507892546,122.0,8.0,8.0
logit,38,-4.809658100598753,0.9896158533772146,381.0,8.0,8.0
logit,39,-6.45087650844029,1.0009306498936243,56.0,1.0,3.0
logit,40,-7.2191337423121675,1.0005571081283244,47.0,8.0,8.0
logit,41,-4.130425004929022,0.977736993542981,634.0,8.0,8.0
logit,42,-6.271540102751358,0.996679803599482,92.0,8.0,8.0
logit,43,-5.673583984375,0.9959301591730442,147.0,8.0,8.0
logit,44,-4.23876953125,0.980918277093696,578.0,8.0,8.0
logit,45,-5.742603032275884,0.9949635207050979,99.0,8.0,8.0
logit,46,-5.163672646986166,0.9917852228338068,253.0,8.0,8.0
logit,47,-5.261733511991279,0.9923030409702035,215.0,8.0,8.0
logit,48,-6.851845423380534,0.9991294542948405,48.0,8.0,8.0
logit,49,-4.548182209645669,0.9834165397904363,381.0,8.0,8.0
logit,50,-4.245112666377315,0.9807424834280303,297.0,8.0,8.0
logit,51,-5.146221201906922,0.9917331818611391,186.0,8.0,8.0
logit,52,-6.318211930521419,0.996887121307716,89.0,8.0,8.0
logit,53,-3.9580087303218985,0.9738954242907072,532.0,8.0,8.0
logit,54,-3.712656636757426,0.9659820254486386,505.0,8.0,8.0
logit,55,-4.857051208941606,0.9900007781611162,411.0,8.0,8.0
nf_ctl,0,-5.401952482524671,0.9819151225842928,190.0,7.0,6.0
nf_ctl,1,-6.098771637561274,0.966435151941636,51.0,6.0,5.0
nf_ctl,2,-4.636867658466312,0.9612578263519503,282.0,4.0,5.0
nf_ctl,3,-4.087637171108652,0.9352160877362908,367.0,4.0,4.0
nf_ctl,4,-7.562227783203125,1.001297149658203,50.0,7.0,5.0
nf_ctl,5,-4.225464593796503,0.9472989581880116,336.0,1.0,2.0
nf_ctl,6,-4.377766173562886,0.8872164502555941,162.0,5.0,7.0
nf_ctl,7,-3.80699951171875,0.93842431640625,500.0,6.0,7.0
nf_ctl,8,-5.9233924278846155,0.9900838998647836,130.0,4.0,2.0
nf_ctl,9,-5.022883157169118,0.9478822595932904,170.0,3.0,5.0
nf_ctl,10,-4.375254313151042,0.9337406158447266,240.0,4.0,2.0
nf_ctl,11,-4.611716434873384,0.9633716714793238,232.0,4.0,3.0
nf_ctl,12,-6.373287844967533,0.9910522064605316,77.0,4.0,3.0
nf_ctl,13,-3.4352842749618904,0.913899491472942,410.0,6.0,2.0
nf_ctl,14,-5.91873490182977,0.9668227747866982,76.0,2.0,1.0
nf_ctl,15,-5.359878215383976,0.9839974261344747,188.0,5.0,5.0
nf_ctl,16,-4.197759440924118,0.9551436186437342,397.0,5.0,7.0
nf_ctl,17,-5.975626011087437,0.9901446718158144,99.0,3.0,2.0
nf_ctl,18,-5.998184624068234,0.9937176485674097,109.0,3.0,3.0
